Date,State,Value
2020-03-13,Georgia,0.1
2020-03-18,Georgia,0.4
2020-03-19,Georgia,0.4071183374722849
2020-03-22,Georgia,0.4120888091206313
2020-03-23,Georgia,0.8040296030402105
2020-03-24,Georgia,0.8254059577356955
2020-03-25,Georgia,0.8421321444949496
2020-03-26,Georgia,0.8475272389543114
2020-03-27,Georgia,0.8501532057260976
2020-03-28,Georgia,0.8836421606259824
2020-03-30,Georgia,0.884020086606703
2020-04-01,Georgia,0.9040614280885296
2020-04-02,Georgia,1.0
2020-03-07,New York,0.1
2020-03-08,New York,0.1149202400527081
2020-03-12,New York,0.3049734133509027
2020-03-13,New York,0.3116713644355396
2020-03-16,New York,0.3312103629767321
2020-03-22,New York,1.0
2020-03-13,Pennsylvania,0.4
2020-03-16,Pennsylvania,0.8
2020-03-23,Pennsylvania,0.8862580806779321
2020-03-25,Pennsylvania,0.9010109600937792
2020-03-27,Pennsylvania,0.941425914363776
2020-03-28,Pennsylvania,0.9497555418927482
2020-03-30,Pennsylvania,0.961272658490802
2020-03-31,Pennsylvania,0.9698979119572748
2020-04-01,Pennsylvania,1.0
2020-03-11,Louisiana,0.1
2020-03-16,Louisiana,0.8
2020-03-20,Louisiana,0.8168218251873497
2020-03-23,Louisiana,1.0
2020-03-06,Kentucky,0.1
2020-03-16,Kentucky,0.6
2020-03-17,Kentucky,0.8
2020-03-23,Kentucky,0.8
2020-04-01,Kentucky,0.8
2020-02-28,Oregon,0.3
2020-03-08,Oregon,0.3
2020-03-12,Oregon,0.4
2020-03-23,Oregon,1.0
2020-03-13,New Hampshire,0.1
2020-03-15,New Hampshire,0.4
2020-03-16,New Hampshire,0.6
2020-03-27,New Hampshire,1.0
2020-03-13,Idaho,0.1
2020-03-17,Idaho,0.11159381443875853
2020-03-23,Idaho,0.40772920962583903
2020-03-25,Idaho,1.0
2020-03-11,New Mexico,0.1
2020-03-24,New Mexico,1.0
2020-03-09,New Jersey,0.1
2020-03-10,New Jersey,0.4
2020-03-14,New Jersey,0.4036109337899775
2020-03-16,New Jersey,1.0
2020-03-21,New Jersey,1.0
2020-03-12,Delaware,0.1
2020-03-13,Delaware,0.4
2020-03-23,Delaware,1.0
2020-03-09,Illinois,0.1
2020-03-15,Illinois,0.6
2020-03-16,Illinois,0.6
2020-03-17,Illinois,0.6
2020-03-21,Illinois,1.0
2020-03-06,Indiana,0.1
2020-03-16,Indiana,0.6
2020-03-19,Indiana,0.6
2020-03-25,Indiana,1.0
2020-03-04,Hawaii,0.09999999999999998
2020-03-16,Hawaii,0.3999999999999999
2020-03-19,Hawaii,0.5613111919721556
2020-03-20,Hawaii,0.5919465883921711
2020-03-21,Hawaii,0.6204235976133435
2020-03-22,Hawaii,0.8957487682502373
2020-03-25,Hawaii,1.0
2020-03-09,Iowa,0.1
2020-03-15,Iowa,0.4
