Sex,Age,Height,Weight,Year,Season,HostCity,Sport,MedalType,AthleteCountry,HostRegion,AthleteRegion,SportType
F,26,172,58,1992,Winter,Albertville,MultiSport Race,Bronze,Russia,Europe,Europe,Race
M,26,197,84,1920,Summer,others,Track&Field,Bronze,Sweden,Europe,Europe,Race
M,29,172,73,1984,Winter,others,Others,Bronze,Switzerland,Europe,Europe,Ice
M,30,174,72,1992,Summer,Barcelona,Others,Bronze,Russia,Europe,Europe,Target
F,34,175,78,2000,Summer,Sydney,Rowing,Gold,Romania,Oceania,Europe,Boat
M,31,175,71,2008,Summer,Beijing,Sailing,Gold,Spain,Asia,Europe,Boat
M,35,173,66,1960,Winter,others,Skiing,Gold,Finland,North America,Europe,Snow
F,24,165,57,2006,Winter,Torino,Skating,Silver,Canada,Europe,North America,Ice
F,18,169,57,1956,Summer,Melbourne,Track&Field,Gold,Australia,Oceania,Oceania,Race
M,31,158,60,1968,Summer,Mexico City,Others,Silver,Russia,North America,Europe,Others
M,27,185,80,2014,Winter,Sochi,Skating,Gold,Netherlands,Europe,Europe,Ice
M,24,184,73,1988,Summer,Seoul,Track&Field,Gold,Russia,Asia,Europe,Race
M,21,188,90,1968,Summer,Mexico City,Rowing,Silver,Australia,North America,Oceania,Boat
F,19,165,67,2016,Summer,Rio de Janeiro,Others,Silver,New Zealand,South America,Oceania,Ball
M,20,180,73,1972,Summer,Munich,Track&Field,Bronze,Italy,Europe,Europe,Race
M,26,192,91,1988,Summer,Seoul,Water Polo,Gold,Serbia,Asia,Europe,Water
M,22,179,71,2012,Summer,London,Football,Silver,Brazil,Europe,South America,Ball
F,30,169,69,2006,Winter,Torino,Hockey,Silver,Sweden,Europe,Europe,Ice
M,22,190,81,1980,Summer,Moskva,Rowing,Gold,Germany,Europe,Europe,Boat
M,31,195,100,2000,Summer,Sydney,Handball,Gold,Russia,Oceania,Europe,Ball
M,25,163,59,1968,Summer,Mexico City,Gymnastics,Gold,Japan,North America,Asia,Acrobatic
M,22,190,81,2012,Summer,London,Judo,Bronze,Canada,Europe,North America,Combat
